,mask_FTOC,bathy
542,,637.2578125
543,,638.793334960938
544,,653.573364257812
545,,676.713317871094
546,,668.953369140625
547,,641.343322753906
548,,695.389587402344
549,,790.359558105469
550,,895.57958984375
551,,984.689575195312
552,,1009.99261474609
553,,1056.44262695312
554,,1106.11267089844
555,,1143.75268554688
556,,1002.26037597656
557,,935.88037109375
558,,891.88037109375
559,,853.6103515625
560,,864.590393066406
561,,896.973388671875
562,,873.243408203125
563,,891.563415527344
564,,896.873413085938
565,,858.915283203125
566,,850.805297851562
567,,823.005310058594
568,,803.395324707031
569,,745.589172363281
570,,650.649169921875
571,,566.199157714844
572,,543.109130859375
573,,519.530151367188
574,,488.680145263672
575,,428.970153808594
576,,386.340148925781
577,,308.940155029297
578,,242.263092041016
579,,167.803085327148
580,,104.133087158203
581,,29.3830852508545
582,,
583,,
584,,
585,,
586,,
587,,
588,,
589,,
590,,
591,,
592,,
593,,
594,,
595,,
596,,
597,,
598,,
599,,
600,,
601,,
602,,4.84217548370361
603,,106.228942871094
604,,188.868942260742
605,,244.188949584961
606,,281.548950195312
607,,312.341552734375
608,,324.121551513672
609,,335.571533203125
610,,332.901550292969
611,,319.621551513672
612,,306.089813232422
613,,292.419799804688
614,,279.889801025391
615,,274.699829101562
616,,272.961700439453
617,,259.451690673828
618,,242.911682128906
619,,231.371688842773
620,,217.011459350586
621,,198.201461791992
622,,196.071472167969
623,,204.561462402344
624,,192.971466064453
625,,171.309265136719
626,,152.839263916016
627,,158.259262084961
628,,182.779266357422
629,,196.879287719727
630,,162.239288330078
631,,119.789283752441
632,,102.819290161133
633,,78.5197982788086
634,,84.2098007202148
635,,101.439796447754
636,,81.1997985839844
637,,94.116584777832
638,,107.606582641602
639,,99.386589050293
640,,98.0865859985352
641,,103.876586914062
642,,110.166282653809
643,,138.436279296875
644,,184.35627746582
645,,167.926284790039
646,,170.947250366211
647,,194.10725402832
648,,222.617248535156
649,,293.857269287109
650,,384.921783447266
651,,414.661804199219
652,,384.581787109375
653,,277.131774902344
654,,156.484298706055
655,,60.2743034362793
656,,22.2743034362793
657,,
658,,
659,,
660,,
661,,
662,,
663,,
664,,
665,,
666,,
667,,
668,,
669,,
670,,
671,,
672,,
673,,
674,,
675,,0.0522424317896366
676,,
677,,
678,,
679,,
680,,
681,,
682,,
683,,
684,,
685,,
686,,
687,,
688,,
689,,
690,,
691,,
692,,
693,,
694,,
695,,
696,,
697,,
698,,
699,,
700,,
701,,
702,,
703,,
704,,
705,,
706,,
707,,
708,,
709,,
710,,
711,,
712,,
713,,
714,,
715,,
716,,
717,,
718,,
719,,
720,,
721,,
722,,
723,,
724,,
725,,
726,,
727,,
728,,
729,,
730,,
731,,
732,,
733,,
734,,
735,,
736,,
737,,
738,,
739,,
740,,
741,,
742,,
743,,
744,,
745,,
746,,
747,,
748,,
749,,
750,,
751,,
752,,
753,,
754,,
755,,
756,,
757,,
758,,
759,,
760,,
761,,
762,,
763,,
764,,
765,,
766,,
767,,
768,,
769,,
770,,
771,,
772,,
773,,
774,,
775,,
776,,
777,,
778,,
779,,
780,,
781,,
782,,
783,,
784,,
785,,
786,,
787,,
788,,
789,,
790,,
791,,
792,,
793,,
794,,
795,,
796,,
797,,
798,,
799,,
800,,
801,,
802,,
803,,
804,,
805,,
806,,
807,,
808,,
809,,
810,,
811,,
812,,
813,,
814,,
815,,
816,,
817,,
818,,
819,,
820,,
821,,
822,,
823,,
824,,
825,,
826,,
827,,
828,,
829,,
830,,
831,,
832,,
833,,
834,,
835,,
836,,
837,,
838,,
839,,
840,,
841,,
842,,
843,,
844,,
845,,
846,,
847,,
848,,
849,,43.911075592041
850,,163.831069946289
851,,281.361083984375
852,,411.215087890625
853,,552.805114746094
854,,731.825073242188
855,,768.915100097656
856,,756.4951171875
857,,699.903991699219
858,,561.223999023438
859,,384.213989257812
860,,216.193969726562
861,,164.736053466797
862,,162.486053466797
863,,186.196060180664
864,,196.816055297852
865,,222.104431152344
866,,281.774444580078
867,,314.774444580078
868,,340.014434814453
869,,353.817169189453
870,,354.507171630859
871,,386.787170410156
872,,406.177154541016
873,,433.917175292969
874,,455.997619628906
875,,477.697631835938
876,,499.937622070312
877,,512.097595214844
878,,541.362426757812
879,,567.882446289062
880,,579.232421875
881,,605.702453613281
882,,638.9443359375
883,,688.784301757812
884,,735.214294433594
885,,731.594299316406
886,,710.982299804688
887,,701.062316894531
888,,702.09228515625
889,,700.852294921875
890,,704.34228515625
891,,735.135925292969
892,,766.665954589844
893,,710.565979003906
894,,659.555969238281
895,,628.01318359375
896,,606.663208007812
897,,574.023193359375
898,,546.363159179688
899,,517.897766113281
900,,490.577789306641
901,,478.447784423828
902,,467.697784423828
903,,461.813354492188
904,,454.553344726562
905,,438.853332519531
906,,424.183349609375
907,,415.92333984375
908,,394.269561767578
909,,349.269561767578
910,,299.629547119141
911,,247.939559936523
912,,223.102630615234
913,,169.642623901367
914,,112.822624206543
915,,86.7626266479492
916,,82.6703796386719
917,,78.3903732299805
918,,56.7403755187988
919,,43.9403762817383
920,,35.4903755187988
921,,7.1933913230896
922,,
923,,
924,,
925,,
926,,
927,,
928,,
929,,
930,,
931,,
932,,
933,,
934,,
935,,
936,,
937,,
938,,
939,,
940,,
941,,
942,,
943,,
944,,
945,,
946,,
947,,
948,,
949,,42.8735504150391
950,,139.65837097168
951,,214.938369750977
952,,243.088363647461
953,,219.90837097168
954,,156.978363037109
955,,129.982467651367
956,,176.582458496094
957,,240.652465820312
958,,301.712463378906
959,,373.822174072266
960,,414.092163085938
961,,477.262176513672
962,,504.592163085938
963,,528.428955078125
964,,525.868957519531
965,,536.93896484375
966,,552.748962402344
967,,551.391540527344
968,,544.521545410156
969,,522.741516113281
970,,505.951538085938
971,,495.621551513672
972,,474.289825439453
973,,461.7998046875
974,,458.679809570312
975,,455.609802246094
976,,453.861694335938
977,,445.24169921875
978,,448.331695556641
979,,449.611694335938
980,,444.731475830078
981,,440.981475830078
982,,437.471466064453
983,,432.151458740234
984,,427.951477050781
985,,414.229248046875
986,,401.779266357422
987,,390.109252929688
988,,361.279266357422
989,,329.609283447266
990,,246.449279785156
991,,144.93928527832
992,,136.839294433594
993,,146.259796142578
994,,167.389801025391
995,,199.239791870117
996,,191.599792480469
997,,178.846588134766
998,,173.826583862305
999,,160.846588134766
1000,,148.776580810547
1001,,136.066589355469
1002,,133.316284179688
1003,,127.966278076172
1004,,111.926277160645
1005,,116.796279907227
1006,,150.127258300781
1007,,183.577255249023
1008,,201.137252807617
1009,,237.077255249023
1010,,271.741790771484
1011,,309.561798095703
1012,,327.611785888672
1013,,284.391784667969
1014,,234.254302978516
1015,,188.154296875
1016,,162.934295654297
1017,,112.794303894043
1018,,58.2543029785156
1019,,3.35150766372681
1020,,5.08150768280029
1021,,32.3115081787109
1022,,55.6015090942383
1023,,69.3830490112305
1024,,70.7930526733398
1025,,76.8830490112305
1026,,87.9130554199219
1027,,95.5203475952148
1028,,101.020347595215
1029,,110.000350952148
1030,,114.790351867676
1031,,122.062240600586
1032,,125.642242431641
1033,,135.722244262695
1034,,148.252243041992
1035,,137.822235107422
1036,,95.6369934082031
1037,,60.0569953918457
1038,,28.0869941711426
1039,,
1040,,
1041,,
1042,,
1043,,
1044,,
1045,,
1046,,
1047,,
1048,,
1049,,
1050,,
1051,,
1052,,
1053,,
1054,,
1055,,
1056,,
1057,,
1058,,
1059,,
1060,,
1061,,
1062,,
1063,,
1064,,
1065,,
1066,,
1067,,
1068,,
1069,,
1070,,
1071,,
1072,,
1073,,
1074,,
1075,,
1076,,
1077,,
1078,,
1079,,
1080,,
1081,,
1082,,
1083,,
1084,,
1085,,
1086,,
1087,,
1088,,
1089,,
1090,,
1091,,
1092,,
1093,,
1094,,
1095,,
1096,,
1097,,
1098,,
1099,,
1100,,
1101,,
1102,,
1103,,
1104,,
1105,,
1106,,
1107,,
1108,,
1109,,
1110,,
1111,,
1112,,
1113,,
1114,,
1115,,
1116,,
1117,,
1118,,
1119,,
1120,,
1121,,
1122,,
1123,,
1124,,
1125,,
1126,,
1127,,
1128,,
1129,,
1130,,
1131,,
1132,,
1133,,
1134,,
1135,,
1136,,
1137,,
1138,,
1139,,
1140,,
1141,,
1142,,
1143,,
1144,,
1145,,
1146,,
1147,,
1148,,
1149,,
1150,,
1151,,
1152,,
1153,,
1154,,
1155,,
1156,,
1157,,
1158,,
1159,,
1160,,
1161,,
1162,,
1163,,
1164,,
1165,,
1166,,
1167,,
1168,,
1169,,
1170,,87.8251342773438
1171,,188.555145263672
1172,,236.305145263672
1173,,304.485137939453
1174,,344.748840332031
1175,,447.258850097656
1176,,479.758850097656
1177,,536.688842773438
1178,,446.136444091797
1179,,384.246429443359
1180,,334.366455078125
1181,,194.156433105469
1182,,193.594345092773
1183,,70.2943420410156
1184,,
1185,,
1186,,
1187,,
1188,,
1189,,
1190,,
1191,,
1192,,
1193,,
1194,,
1195,,
1196,,
1197,,
1198,,
1199,,53.8762054443359
1200,,193.646209716797
1201,,
1202,,
1203,,
1204,,
1205,,142.18864440918
1206,,434.148651123047
1207,,589.168640136719
1208,,616.011047363281
1209,,735.931091308594
1210,,880.85107421875
1211,,838.591064453125
1212,,652.775085449219
1213,,528.175109863281
1214,,438.115112304688
1215,,504.115112304688
1216,,581.185119628906
1217,,707.253967285156
1218,,804.173950195312
1219,,873.343994140625
1220,,913.883972167969
1221,,939.246032714844
1222,,961.146057128906
1223,,916.066040039062
1224,,904.946044921875
1225,,834.29443359375
1226,,677.434448242188
1227,,514.654418945312
1228,,415.084442138672
1229,,371.377166748047
1230,,284.317169189453
1231,,238.967163085938
1232,,228.937164306641
1233,,248.807159423828
1234,,314.347625732422
1235,,415.007629394531
1236,,438.527618408203
1237,,428.647613525391
1238,,403.782440185547
1239,,394.622436523438
1240,,363.272430419922
1241,,285.322418212891
1242,,122.504318237305
1243,,
1244,,
1245,,
1246,,
1247,,
1248,,
1249,,
1250,,
1251,,
1252,,
1253,,
1254,,
1255,,
1256,,
1257,,
1258,,
1259,,
1260,,
1261,,
1262,,
1263,,
1264,,
1265,,
1266,,
1267,,
1268,,
1269,,7.22956037521362
1270,,0.289560556411743
1271,,
1272,,
1273,,
1274,,
1275,,
1276,,
1277,,28.1403751373291
1278,,174.420379638672
1279,,246.790374755859
1280,,265.38037109375
1281,,272.903381347656
1282,,255.283386230469
1283,,95.723388671875
1284,,
1285,,
1286,,
1287,,
1288,,
1289,,
1290,,
1291,,
1292,,
1293,,
1294,,
1295,,
1296,,
1297,,
1298,,
1299,,
1300,,
1301,,
1302,,
1303,,
1304,,
1305,,
1306,,
1307,,
1308,,
1309,,
1310,,
1311,,
1312,,
1313,,
1314,,
1315,,
1316,,
1317,,
1318,,
1319,,
1320,,
1321,,
1322,,
1323,,
1324,,
1325,,
1326,,
1327,,
1328,,
1329,,
1330,,
1331,,
1332,,
1333,,
1334,,
1335,,
1336,,
1337,,
1338,,
1339,,
1340,,
1341,,32.2914657592773
1342,,58.1614646911621
1343,,69.0214614868164
1344,,79.6114654541016
1345,,100.849258422852
1346,,103.119262695312
1347,,110.869262695312
1348,,111.559257507324
1349,,121.589286804199
1350,,109.339286804199
1351,,80.7992858886719
1352,,101.579284667969
1353,,121.549797058105
1354,,150.689804077148
1355,,159.70979309082
1356,,164.489791870117
1357,,163.226593017578
1358,,167.736587524414
1359,,208.686584472656
1360,,221.696578979492
1361,,243.906585693359
1362,,268.956268310547
1363,,295.4462890625
1364,,323.936279296875
1365,,311.726287841797
1366,,310.877258300781
1367,,300.687255859375
1368,,295.597259521484
1369,,262.937255859375
1370,,241.91178894043
1371,,239.601791381836
1372,,298.191802978516
1373,,292.381774902344
1374,,276.794311523438
1375,,262.964294433594
1376,,263.304290771484
1377,,273.764312744141
1378,,265.514312744141
1379,,244.611511230469
1380,,220.781509399414
1381,,214.661514282227
1382,,231.361511230469
1383,,247.05305480957
1384,,248.253051757812
1385,,249.173049926758
1386,,235.163055419922
1387,,216.210357666016
1388,,207.320343017578
1389,,193.830352783203
1390,,175.850357055664
1391,,152.142242431641
1392,,131.902236938477
1393,,88.7022399902344
1394,,54.5122413635254
1395,,
1396,,
1397,,
1398,,
1399,,
1400,,
1401,,
1402,,
1403,,
1404,,
1405,,
1406,,
1407,,
1408,,
1409,,
1410,,
1411,,
1412,,
1413,,
1414,,
1415,,
1416,,
1417,,
1418,,
1419,,
1420,,
1421,,
1422,,
1423,,
1424,,
1425,,
1426,,
1427,,
1428,,
1429,,
1430,,
1431,,
1432,,
1433,,
1434,,
1435,,
1436,,
1437,,
1438,,
1439,,
1440,,
1441,,
1442,,
1443,,
1444,,
1445,,
1446,,
1447,,
1448,,
1449,,
1450,,
1451,,
1452,,
1453,,
1454,,
1455,,
1456,,
1457,,
1458,,
1459,,
1460,,
1461,,
1462,,
1463,,
1464,,
1465,,
1466,,
1467,,
1468,,
1469,,
1470,,
1471,,
1472,,
1473,,
1474,,
1475,,
1476,,
1477,,
1478,,
1479,,
1480,,
1481,,
1482,,
1483,,
1484,,
1485,,
1486,,
1487,,
1488,,
1489,,
1490,,
1491,,
1492,,
1493,,
1494,,
1495,,
1496,,
1497,,
1498,,
1499,,
1500,,
1501,,
1502,,
1503,,
1504,,
1505,,
1506,,
1507,,
1508,,
1509,,
1510,,
1511,,
1512,,
1513,,
1514,,
1515,,
1516,,
1517,,
1518,,
1519,,
1520,,
1521,,
1522,,
1523,,
1524,,
1525,,
1526,,
1527,,
1528,,
1529,,
1530,,
1531,,
1532,,
1533,,
1534,,
1535,,50.748851776123
1536,,129.738845825195
1537,,446.758850097656
1538,,495.406433105469
1539,,494.066436767578
1540,,482.186431884766
1541,,460.206451416016
1542,,447.924346923828
1543,,505.824340820312
1544,,558.104370117188
1545,,396.654357910156
1546,,211.394348144531
1547,,
1548,,
1549,,
1550,,
1551,,
1552,,
1553,,
1554,,
1555,,
1556,,
1557,,
1558,,
1559,,
1560,,
1561,,
1562,,
1563,,35.6562042236328
1564,,111.978637695312
1565,,272.8486328125
1566,,445.11865234375
1567,,480.508636474609
1568,,488.381072998047
1569,,546.931091308594
1570,,658.251098632812
1571,,702.481079101562
1572,,625.535095214844
1573,,735.285095214844
1574,,851.165100097656
1575,,928.925109863281
1576,,1043.60510253906
1577,,1180.07397460938
1578,,1171.24401855469
1579,,1128.16394042969
1580,,937.953979492188
1581,,690.986083984375
1582,,559.216064453125
1583,,335.666046142578
1584,,199.346054077148
1585,,
1586,,
1587,,
1588,,
1589,,
1590,,
1591,,
1592,,
1593,,
1594,,
1595,,
1596,,
1597,,
1598,,
1599,,
1600,,
1601,,
1602,,
1603,,
1604,,
1605,,
1606,,
1607,,
1608,,
1609,,
1610,,
1611,,
1612,,
1613,,
1614,,
1615,,
1616,,
1617,,
1618,,
1619,,
1620,,
1621,,
1622,,
1623,,
1624,,
1625,,
1626,,
1627,,28.8533420562744
1628,,190.829559326172
1629,,63.1995620727539
1630,,
1631,,
1632,,
1633,,
1634,,
1635,,
1636,,
1637,,296.920379638672
1638,,560.670349121094
1639,,498.420379638672
1640,,449.420379638672
1641,,279.343383789062
1642,,
1643,,
1644,,
1645,,
1646,,
1647,,
1648,,
1649,,
1650,,
1651,,
1652,,
1653,,
