V1,V2,V3
-8.52367688022284,90,-4212.48486328125
-7.52089136490252,90,-4210.24462890625
-6.51810584958218,90,-4208.3447265625
-5.51532033426184,90,-4206.16455078125
-4.5125348189415,90,-4203.4580078125
-3.50974930362116,90,-4201.41796875
-2.50696378830085,90,-4194.91796875
-1.50417827298051,90,-4188.06787109375
-0.50139275766017,90,-4184.17724609375
0.50139275766017,90,-4182.4970703125
1.50417827298048,90,-4182.47705078125
2.50696378830082,90,-4184.50732421875
3.50974930362116,90,-4187.73291015625
4.5125348189415,90,-4189.953125
5.51532033426184,90,-4195.712890625
6.51810584958216,90,-4202.1328125
7.5208913649025,90,-4207.85302734375
8.52367688022284,90,-4213.22265625
9.52646239554318,90,-4219.212890625
10.5292479108635,90,-4225.32275390625
11.5320334261838,90,-4230.87255859375
12.5348189415042,90,-4232.796875
13.5376044568245,90,-4237.88671875
14.5403899721449,90,-4240.7568359375
15.5431754874652,90,-4244.5068359375
16.5459610027855,90,-4247.2900390625
17.5487465181058,90,-4249.73974609375
18.5515320334262,90,-4251.0498046875
19.5543175487465,90,-4252.06005859375
20.5571030640668,90,-4253.33984375
21.5598885793872,90,-4255.03466796875
22.5626740947075,90,-4255.48486328125
23.5654596100279,90,-4255.544921875
24.5682451253482,90,-4254.794921875
25.5710306406685,90,-4253.48046875
26.5738161559889,90,-4254.47021484375
27.5766016713092,90,-4253.1103515625
28.5793871866295,90,-4253.59033203125
29.5821727019498,90,-4255.08251953125
30.5849582172702,90,-4255.84228515625
31.5877437325905,90,-4256.732421875
32.5905292479109,90,-4257.9521484375
33.5933147632312,90,-4258.98974609375
34.5961002785515,90,-4259.009765625
35.5988857938719,90,-4260.52978515625
36.6016713091922,90,-4261.009765625
37.6044568245125,90,-4262.33984375
38.6072423398329,90,-4263.91748046875
39.6100278551532,90,-4265.0576171875
40.6128133704735,90,-4266.07763671875
41.6155988857939,90,-4266.74755859375
42.6183844011142,90,-4266.36279296875
43.6211699164345,90,-4265.1923828125
44.6239554317549,90,-4264.3427734375
45.6267409470752,90,-4262.62255859375
46.6295264623955,90,-4262.2646484375
47.6323119777159,90,-4261.78466796875
48.6350974930362,90,-4261.20458984375
49.6378830083565,90,-4262.65478515625
50.6406685236769,90,-4263.7626953125
51.6434540389972,90,-4264.962890625
52.6462395543175,90,-4265.712890625
53.6490250696379,90,-4266.85302734375
54.6518105849582,90,-4268.052734375
55.6545961002786,90,-4269.53076171875
56.6573816155989,90,-4270.55078125
57.6601671309192,90,-4271.40087890625
58.6629526462395,90,-4271.74072265625
59.6657381615599,90,-4271.68212890625
60.6685236768802,90,-4271.31201171875
61.6713091922005,90,-4269.921875
62.6740947075209,90,-4268.68212890625
63.6768802228412,90,-4266.6728515625
64.6796657381616,90,-4264.7626953125
65.6824512534819,90,-4261.5830078125
66.6852367688022,90,-4256.2529296875
67.6880222841226,90,-4251.3271484375
68.6908077994429,90,-4248.80712890625
69.6935933147632,90,-4243.6171875
70.6963788300835,90,-4238.5771484375
71.6991643454039,90,-4235.24755859375
72.7019498607242,90,-4232.66357421875
73.7047353760446,90,-4231.49365234375
74.7075208913649,90,-4229.66357421875
75.7103064066852,90,-4227.423828125
76.7130919220056,90,-4226.24072265625
77.7158774373259,90,-4222.9404296875
78.7186629526462,90,-4219.53076171875
79.7214484679666,90,-4216.38037109375
80.7242339832869,90,-4212.46044921875
81.7270194986072,90,-4208.7001953125
82.7298050139275,90,-4205.0703125
83.7325905292479,90,-4201.75048828125
84.7353760445682,90,-4200.1103515625
85.7381615598886,90,-4198.58251953125
86.7409470752089,90,-4197.92236328125
87.7437325905292,90,-4199.62255859375
88.7465181058496,90,-4202.58251953125
89.7493036211699,90,-4205.68505859375
90.7520891364902,90,-4210.5849609375
91.7548746518106,90,-4214.88525390625
92.7576601671309,90,-4216.1748046875
93.7604456824512,90,-4216.95703125
94.7632311977716,90,-4217.1171875
95.7660167130919,90,-4216.296875
96.7688022284123,90,-4215.34716796875
97.7715877437326,90,-4213.990234375
98.7743732590529,90,-4212.919921875
99.7771587743732,90,-4211.64990234375
100.779944289694,90,-4210.8701171875
101.782729805014,90,-4210.14013671875
102.785515320334,90,-4209.13525390625
103.788300835655,90,-4207.92529296875
104.791086350975,90,-4206.9052734375
105.793871866295,90,-4206.025390625
106.796657381616,90,-4205.33984375
107.799442896936,90,-4205.39990234375
108.802228412256,90,-4205.27001953125
109.805013927577,90,-4205.47998046875
110.807799442897,90,-4206.41015625
111.810584958217,90,-4207.06005859375
112.813370473538,90,-4207.0302734375
113.816155988858,90,-4206.400390625
114.818941504178,90,-4206.8271484375
115.821727019499,90,-4207.9072265625
116.824512534819,90,-4207.70751953125
117.827298050139,90,-4208.4873046875
118.83008356546,90,-4212.26708984375
119.83286908078,90,-4216.2275390625
120.8356545961,90,-4220.56787109375
121.838440111421,90,-4226.23779296875
122.841225626741,90,-4230.7578125
123.844011142061,90,-4232.69189453125
124.846796657382,90,-4233.912109375
125.849582172702,90,-4234.81201171875
126.852367688022,90,-4234.2421875
127.855153203343,90,-4233.45703125
128.857938718663,90,-4231.8271484375
129.860724233983,90,-4229.9169921875
130.863509749304,90,-4227.85693359375
131.866295264624,90,-4226.42724609375
132.869080779944,90,-4224.9169921875
133.871866295265,90,-4222.8369140625
134.874651810585,90,-4221.537109375
135.877437325905,90,-4216.43701171875
136.880222841226,90,-4213.2548828125
137.883008356546,90,-4215.0048828125
138.885793871866,90,-4220.705078125
139.888579387187,90,-4224.375
140.891364902507,90,-4224.4794921875
141.894150417827,90,-4224.28955078125
142.896935933148,90,-4223.169921875
143.899721448468,90,-4222.4697265625
144.902506963788,90,-4222.16064453125
145.905292479109,90,-4221.62060546875
146.908077994429,90,-4221.32080078125
147.910863509749,90,-4218.99072265625
148.91364902507,90,-4216.70068359375
149.91643454039,90,-4213.59716796875
150.91922005571,90,-4211.546875
151.922005571031,90,-4209.20703125
152.924791086351,90,-4207.1572265625
153.927576601671,90,-4206.47998046875
154.930362116992,90,-4206.31005859375
155.933147632312,90,-4212.5400390625
156.935933147632,90,-4216.22998046875
157.938718662953,90,-4215.64501953125
158.941504178273,90,-4212.76513671875
159.944289693593,90,-4214.9150390625
160.947075208914,90,-4216.72509765625
161.949860724234,90,-4220.77001953125
162.952646239554,90,-4223.2900390625
163.955431754875,90,-4225.93994140625
164.958217270195,90,-4227.22998046875
165.961002785515,90,-4224.10009765625
166.963788300836,90,-4223.740234375
167.966573816156,90,-4223.91015625
168.969359331476,90,-4219.0302734375
169.972144846797,90,-4215.0302734375
170.974930362117,90,-4213.44384765625
171.977715877437,90,-4213.06396484375
172.980501392758,90,-4213.06396484375
173.983286908078,90,-4212.7939453125
174.986072423398,90,-4214.33984375
175.988857938719,90,-4215.990234375
176.991643454039,90,-4218.669921875
177.994428969359,90,-4220.75
178.99721448468,90,-4227.31494140625
180,90,-4238.955078125
-180,88.9944134078212,-2590.04321289062
-178.99721448468,88.9944134078212,-2659.61328125
-177.994428969359,88.9944134078212,-2737.87329101562
-176.991643454039,88.9944134078212,-2844.1630859375
-175.988857938719,88.9944134078212,-2926.54174804688
-174.986072423398,88.9944134078212,-3000.9716796875
-173.983286908078,88.9944134078212,-3047.74169921875
-172.980501392758,88.9944134078212,-3137.67163085938
-171.977715877437,88.9944134078212,-3184.96166992188
-170.974930362117,88.9944134078212,-3265.07177734375
-169.972144846797,88.9944134078212,-3346.70190429688
-168.969359331476,88.9944134078212,-3388.52197265625
-167.966573816156,88.9944134078212,-3427.18188476562
-166.963788300836,88.9944134078212,-3482.2138671875
-165.961002785515,88.9944134078212,-3553.82373046875
-164.958217270195,88.9944134078212,-3610.99389648438
-163.955431754875,88.9944134078212,-3641.34375
-162.952646239554,88.9944134078212,-3670.02587890625
-161.949860724234,88.9944134078212,-3685.2958984375
-160.947075208914,88.9944134078212,-3718.67578125
-159.944289693593,88.9944134078212,-3704.87573242188
-158.941504178273,88.9944134078212,-3746.6474609375
-157.938718662953,88.9944134078212,-3743.71752929688
-156.935933147632,88.9944134078212,-3769.88745117188
-155.933147632312,88.9944134078212,-3777.88745117188
-154.930362116992,88.9944134078212,-3808.03759765625
-153.927576601671,88.9944134078212,-3824.6279296875
-152.924791086351,88.9944134078212,-3825.07788085938
-151.922005571031,88.9944134078212,-3828.9580078125
-150.91922005571,88.9944134078212,-3843.3779296875
-149.91643454039,88.9944134078212,-3809.74462890625
-148.91364902507,88.9944134078212,-3750.12451171875
-147.910863509749,88.9944134078212,-3723.724609375
-146.908077994429,88.9944134078212,-3703.474609375
-145.905292479109,88.9944134078212,-3721.76733398438
-144.902506963788,88.9944134078212,-3734.26733398438
-143.899721448468,88.9944134078212,-3733.56713867188
-142.896935933148,88.9944134078212,-3727.06713867188
-141.894150417827,88.9944134078212,-3716.224609375
-140.891364902507,88.9944134078212,-3734.9345703125
-139.888579387187,88.9944134078212,-3730.69458007812
-138.885793871866,88.9944134078212,-3690.98461914062
-137.883008356546,88.9944134078212,-3676.50463867188
-136.880222841226,88.9944134078212,-3651.99780273438
-135.877437325905,88.9944134078212,-3623.80786132812
-134.874651810585,88.9944134078212,-3589.09790039062
-133.871866295265,88.9944134078212,-3603.86791992188
-132.869080779944,88.9944134078212,-3621.20190429688
-131.866295264624,88.9944134078212,-3618.36206054688
-130.863509749304,88.9944134078212,-3621.78198242188
-129.860724233983,88.9944134078212,-3615.15185546875
-128.857938718663,88.9944134078212,-3627.62036132812
-127.855153203343,88.9944134078212,-3619.30053710938
-126.852367688022,88.9944134078212,-3646.93041992188
-125.849582172702,88.9944134078212,-3653.4404296875
-124.846796657382,88.9944134078212,-3632.47509765625
-123.844011142061,88.9944134078212,-3628.14501953125
-122.841225626741,88.9944134078212,-3572.10498046875
-121.838440111421,88.9944134078212,-3536.794921875
-120.8356545961,88.9944134078212,-3507.13500976562
-119.83286908078,88.9944134078212,-3460.564453125
-118.83008356546,88.9944134078212,-3422.0546875
-117.827298050139,88.9944134078212,-3356.75463867188
-116.824512534819,88.9944134078212,-3283.4345703125
-115.821727019499,88.9944134078212,-3237.4921875
-114.818941504178,88.9944134078212,-3169.22216796875
-113.816155988858,88.9944134078212,-3087.412109375
-112.813370473538,88.9944134078212,-3049.58203125
-111.810584958217,88.9944134078212,-3034.73291015625
-110.807799442897,88.9944134078212,-2994.43286132812
-109.805013927577,88.9944134078212,-2995.31274414062
-108.802228412256,88.9944134078212,-2975.29272460938
-107.799442896936,88.9944134078212,-2931.93286132812
-106.796657381616,88.9944134078212,-2829.31762695312
-105.793871866295,88.9944134078212,-2741.06762695312
-104.791086350975,88.9944134078212,-2669.48754882812
-103.788300835655,88.9944134078212,-2609.13745117188
-102.785515320334,88.9944134078212,-2562.69262695312
-101.782729805014,88.9944134078212,-2517.24267578125
-100.779944289694,88.9944134078212,-2441.32250976562
-99.7771587743733,88.9944134078212,-2390.75268554688
-98.7743732590529,88.9944134078212,-2287.19262695312
-97.7715877437326,88.9944134078212,-2218.62255859375
-96.7688022284123,88.9944134078212,-2167.7626953125
-95.7660167130919,88.9944134078212,-2133.15258789062
-94.7632311977716,88.9944134078212,-2125.98779296875
-93.7604456824513,88.9944134078212,-2100.65771484375
-92.7576601671309,88.9944134078212,-2036.27783203125
-91.7548746518106,88.9944134078212,-1982.32775878906
-90.7520891364903,88.9944134078212,-1893.98779296875
-89.7493036211699,88.9944134078212,-1847.88122558594
-88.7465181058496,88.9944134078212,-1834.51123046875
-87.7437325905292,88.9944134078212,-1806.43115234375
-86.7409470752089,88.9944134078212,-1754.19116210938
-85.7381615598886,88.9944134078212,-1751.34741210938
-84.7353760445683,88.9944134078212,-1739.54748535156
-83.7325905292479,88.9944134078212,-1729.98742675781
-82.7298050139276,88.9944134078212,-1737.51745605469
-81.7270194986072,88.9944134078212,-1715.68762207031
-80.7242339832869,88.9944134078212,-1659.65771484375
-79.7214484679666,88.9944134078212,-1609.66760253906
-78.7186629526462,88.9944134078212,-1560.10766601562
-77.7158774373259,88.9944134078212,-1515.59765625
-76.7130919220056,88.9944134078212,-1468.87768554688
-75.7103064066852,88.9944134078212,-1458.86767578125
-74.7075208913649,88.9944134078212,-1456.79760742188
-73.7047353760446,88.9944134078212,-1482.18762207031
-72.7019498607242,88.9944134078212,-1540.36950683594
-71.6991643454039,88.9944134078212,-1563.28955078125
-70.6963788300836,88.9944134078212,-1572.49951171875
-69.6935933147632,88.9944134078212,-1595.63952636719
-68.6908077994429,88.9944134078212,-1620.79553222656
-67.6880222841226,88.9944134078212,-1635.73547363281
-66.6852367688022,88.9944134078212,-1677.04553222656
-65.6824512534819,88.9944134078212,-1719.8955078125
-64.6796657381616,88.9944134078212,-1797.22302246094
-63.6768802228412,88.9944134078212,-1928.28308105469
-62.6740947075209,88.9944134078212,-2112.28295898438
-61.6713091922006,88.9944134078212,-2284.29296875
-60.6685236768802,88.9944134078212,-2445.98266601562
-59.6657381615599,88.9944134078212,-2518.71264648438
-58.6629526462396,88.9944134078212,-2612.3125
-57.6601671309192,88.9944134078212,-2669.73266601562
-56.6573816155989,88.9944134078212,-2693.33251953125
